"pinyinnum","pinyintone","pinyinnone","traditional","simplified","MC","OC","radsup","morph","variant","Kroll","zdic","note"
"qiu1~xu1","qiū~xū","qiu~xu","丘虛","丘虚","khjuw~xjo","*[k]ʷʰə~*C.qʰ(r)a","NA","BR","NA","hillocky and hummock; ruins and wastes, esp. near tombs","NA","NA"
"qin1~xun2","qīn~xún","qin~xun","侵尋","侵寻","tshim~zim","*[tsʰ][i]m~*sə-l[ə]m (< *-um ?)","彐","BR","NA","bit by bit","漸進。史記．卷十二．孝武本紀：「是歲，天子始巡郡縣，侵尋於泰山矣。」宋．蘇軾．代張方平諫用兵書：「遂使侵尋及於諸國，歲歲調發。」亦作「侵淫」。","probably different radical support"
"pian2~pi4","pián~pì","pian~pi","便辟","便辟","pjien~pjiek","*[b]e[n]-s~*[b]ˤek","NA","BR","NA","fawning and flattering, smooth-talking","善於迎合他人。論語．季氏：「益者三友，損者三友。友直、友諒、友多聞，益矣；友便辟、友善柔、友便佞，損矣。」","NA"
"ti4~tang3","tì~tǎng","ti~tang","俶儻","俶傥","thet~thangX","*tʰuk~*tʰˤaŋʔ","人","BR","倜儻？","unexpected, rare and unparalleled","NA","NA"
"piao4~jiao3","piào~jiǎo","piao~jiao","僄狡","僄狡","phjiew~kaewH","NA~NA","NA","BR","NA","brisk and bold, quick and courageous","NA","NA"
"xiang1~yang2","xiāng~yáng","xiang~yang","儴佯","儴佯","sjang~yang","NA~NA","人","BR","儴佯, 忀徉, 相羊","wandering and wavering, ambling and meandering","NA","xiang1 usually pronounce rang2"
"tang3~lang3","tǎng~lǎng","tang~lang","儻朗","傥朗","thangX~langX","*tʰˤaŋʔ~*k.rˤaŋʔ","NA","BR","爣朗, 爣閬, 儻朗, 儻閬","glimmering glow, gloriously ablaze","NA","NA"
"tang3~lang3","tǎng~lǎng","tang~lang","儻閬","傥阆","thangX~langX","*tʰˤaŋʔ~NA","NA","BR","爣朗, 爣閬, 儻朗, 儻閬","glimmering glow, gloriously ablaze","NA","NA"
"ling2~li4","líng~lì","ling~li","凌歷","凌历","ling~lek","*[r]əŋ~*[r]ˤek","NA","BR","NA","traverse and transit","NA","NA"
"lie4~que1","liè~quē","lie~que","列缺","列缺","ljet~khwet","*[r][e]t~*Nə-[k]ʷʰˤet","NA","BR","裂缺","shattering cracks (lightning)","閃電。漢書．卷八十七．揚雄傳上：「辟歷列缺，吐火施鞭。」唐．李白．夢遊天姥吟留別詩：「列缺霹靂，丘巒崩摧。」高空。楚辭．屈原．遠遊：「上至列缺兮，降望大壑。」","NA"
"pan4~huan4","pàn~huàn","pan~huan","判換","判换","phanH~hwanH","*pʰˤan-s~*[ɢ]ʷˤa[n]-s","NA","BR","NA","relaxed, slack, at loose ends","NA","not sure about morph"
"qu2~lu4","qú~lù","qu~lu","劬錄","劬录","gju~ljowk","*[g](r)o~*[r]ok","NA","BR","NA","toilsome travail, moil and toil","NA","NA"
"bo2~su1","bó~sū","bo~su","勃窣","勃窣","bwot~swot","*[b]ˤut~NA","NA","BR","NA","short and squat; cramped and confined; walking in mincing steps","匍匐慢行。形容人言談緩慢。晉書．卷七十五．張憑傳：「帝召與語，歎曰：『張憑勃窣為理窟。』」","NA"
"can1~tan2","cān~tán","can~tan","參潭","参潭","tshom~dom","r̥ˤəʔ~*[l]ˤ[ə]m","NA","BR","參驔 (tshom-dzemX : can1dian4)","in regular ranks, following one after another","NA","NA"
"cong2~can2","cóng~cán","cong~can","叢殘","丛残","dzuwng~dzan","*dzˤoŋ~*[dz]ˤa[n]","NA","BR","NA","in a jumble; odd and ends","NA","NA"
"tao1~ta4","tāo~tà","tao~ta","叨沓","叨沓","thaw~dop","NA~*m-rˤəp","NA","BR","NA","(med.) avaricious and shiftless, greedy but negligent","既貪心又懈怠。新唐書．卷一七一．李光進傳：「初，田縉鎮夏州，以叨沓開邊隙，故党項引吐蕃圍涇州，郝玭力戰破之。」","NA"
"che4~nie4","chè~niè","che~nie","呫囓","呫囓","tsyhep~nyep","NA~NA","口","BR","NA","speak in hushed tones","NA","NA"
"pao1~xiao1","pāo~xiāo","pao~xiao","咆哮","咆哮","baew~xaew","NA~NA","口","BR","NA","rage and roar; also, spout and swagger, brag and bluster","野獸的怒吼。唐．常建．空靈山應田叟詩：「日入聞虎鬥，空山滿咆哮。」三國演義．第三回：「果然那馬渾身上下，火炭般赤，無半根雜毛；從頭至尾，長一丈；從蹄至項，高八尺；嘶喊咆哮，有騰空入海之狀。」近怒吼、狂嗥、吼怒形容人在激怒時的吼叫。如：「大聲咆哮」、「咆哮如雷」。近怒吼、狂嗥、吼怒形容人氣勢勇猛剛健的樣子。抱朴子．外篇．清鑒：「咆哮者不必勇，淳淡者不必怯。」唐．白居易．漢高祖斬白蛇賦：「一呼而猛氣咆哮，再叱而雄姿抑揚。」","not sure about morph"
"an1~yi4","ān~yì","an~yi","啽囈","啽呓","ngom~ngjejH","NA~NA","口","BR","NA","mutteringin one's sleep","夢話。列子．周穆王：「眠中啽囈呻呼，徹旦息焉。」","from arthur"
"cao2~cui4","cáo~cuì","cao~cui","嘈啐","嘈啐","dzaw~tshwojH","NA~*[tsʰ]ˤu[t]-s","口","BR","NA","clamorous, loud racket","NA","NA"
"cao2~za2","cáo~zá","cao~za","嘈囋","嘈囋","dzaw~dzat","NA~NA","口","BR","NA","clamorous, loud racket","NA","NA"
"cao2~za2","cáo~zá","cao~za","嘈雜","嘈杂","dzaw~dzop","NA~*[dz]ˤ[u]p","NA","BR","NA","clamorous, loud racket","形容聲音喧鬧、雜亂。紅樓夢．第五十三回：「一夜人聲嘈雜，語笑喧闐，爆竹起火絡繹不絕。」文明小史．第三回：「聽了聽二門外頭那人聲越發嘈雜，甚至拿磚頭撞的二門鼕鼕的響，其勢岌岌可危。」","NA"
"pen1~bo2","pēn~bó","pen~bo","噴薄","喷薄","phwon~bak","NA~*[b]ˤak","NA","BR","NA","frenzied fury","噴射湧起。如：「錢塘潮，海濤噴薄，氣象萬千，每每吸引無數遊客。」","not sure about morph"
"yan3~yong2","yǎn~yóng","yan~yong","噞喁","噞喁","ngjemX~ngjowng","NA~NA","口","BR","NA","gaping and gawping","魚嘴巴一開一合的樣子。文選．左思．吳都賦：「泝洄順流，噞喁浮沉。」宋．蘇軾．中秋月寄子由詩三首之一：「寒魚亦不睡，竟夕相噞喁。」","NA"
"jin4~yin2","jìn~yín","jin~yin","噤吟","噤吟","kimH~ngim","NA~*m-qʰ(r)[ə]m","口","BR","NA","deformed jaws, unevenly clenched mouth","NA","NA"
