simp,freq,famsize,semrad,semfreq,semfamsize,phon,phonfreq,phonfam
徒,51.842,37,彳,11952.2173,29,土,310.163,4
洞,52.9284,34,氵,19088.7556,238,同,110.3556,7
簪,0.3407,3,⺮,5914.6074,56,朁,0.3407,1
案,245.9753,76,木,23327.0765,210,安,433.4617,8
投,930.4444,59,扌,19245.0025,233,殳,1064.6074,2
候,1091.6099,34,亻,51543.5654,164,候,1091.6099,1
话,1630.0198,143,讠,19842.7358,108,舌,3187.3877,5
语,510.3506,126,讠,19842.7358,108,语,510.3506,1
财,316.6173,48,贝,3940.7309,52,才,9461.3481,5
税,26.7309,44,禾,3095.6593,38,兑,3850.6222,7
机,1506.3259,291,木,23327.0765,210,几,1575.4617,7
打,1268.5037,191,扌,19245.0025,233,丁,1953.1259,12
滚,115.3136,21,氵,19088.7556,238,衮,115.3136,1
拓,13.8025,9,扌,19245.0025,233,石,23.9654,2
阻,67.8864,26,阝,12852.079,66,且,1299.7877,15
野,158.0247,71,里,4074.8642,4,予,401.6099,6
温,323.9556,57,氵,19088.7556,238,昷,328.9975,5
驯,5.116,6,马,1869.2049,34,川,169.8222,3
恭,135.0074,17,小,4399.7383,10,共,269.9111,7
描,38.7753,12,扌,19245.0025,233,苗,255.9901,6
魅,44.3654,2,鬼,635.116,8,未,820.7358,7
俯,6.5185,9,亻,51543.5654,164,府,71.3975,3
闷,109.2988,15,门,3881.6296,28,门,7291.9901,4
棍,22.7506,16,木,23327.0765,210,昆,173.7086,4
急,137.8222,62,心,19695.9012,59,刍,156.7407,4
进,749.116,116,辶,28384.0494,81,井,1114.3802,4
韧,7.6296,7,韦,231.7778,4,刃,172.163,4
性,554.5531,353,忄,9431.3086,100,生,1495.2988,6
遵,17.6049,7,辶,28384.0494,81,尊,34.8198,4
照,530.3605,78,灬,6163.1901,20,召,2008.9086,12
完,1007.679,25,宀,14193.9605,51,元,3458.2914,7
艺,145.5457,59,艹,9164.7556,191,乙,370.0148,3
术,236.2815,65,木,23327.0765,210,术,270.1481,4
窒,6.2321,1,穴,1620.3358,24,至,184.4,5
垄,3.5259,3,土,17088.4346,84,龙,231.2296,13
鬓,1.4173,1,髟,8.3704,5,宾,65.1358,9
黎,82.1136,3,黍,90.6815,3,利,196.1432,7
盲,18.6914,19,目,12024.3309,58,亡,723.1605,8
跌,40.3951,15,足,2994.2815,62,失,49.5704,3
痛,446.3704,59,疒,1856.2963,68,甬,1245.5753,11
错,798.3111,35,钅,3731.8272,120,昔,1116.6667,5
字,458.5333,86,子,6417.5605,26,子,814.879,6
矮,21.4272,6,矢,2475.6395,8,委,42.7951,6
粗,55.0815,35,米,2111.0864,32,且,1299.7877,15
活,1309.6741,98,氵,19088.7556,238,舌,3187.3877,5
问,1053.9802,62,门,3881.6296,28,门,7291.9901,4
换,348.558,55,扌,19245.0025,233,奂,503.4765,5
撞,80.0741,16,扌,19245.0025,233,童,98.6716,4
旗,51.6593,33,方,1588.5778,10,其,1622.6914,13
默,134.6667,19,黑,676.8296,10,黑,424.2519,2
蹿,1.3481,0,足,2994.2815,62,窜,1.4519,2
转,591.0963,116,车,3498.0049,32,专,1160.2321,3
战,721.5358,145,戈,29970.7358,17,占,4529.8963,14
卦,15.0765,3,卜,541.2543,8,圭,976.8938,14
但,1326.7605,5,亻,51543.5654,164,旦,1634.7852,8
盔,5.8469,3,皿,839.1062,18,灰,41.3877,3
苯,1.7975,7,艹,9164.7556,191,本,59.5506,3
酚,1.3432,1,酉,1758.6815,30,分,903.2593,12
姑,107.9605,26,女,18584.642,96,古,1063.2346,14
亵,2.4741,2,亠,3632.4395,14,执,39.3728,4
渎,2.4642,3,氵,19088.7556,238,卖,698.1531,8
传,554.637,126,亻,51543.5654,164,专,1160.2321,3
救,212.163,59,攵,5099.1457,24,求,630.6815,3
混,146.3556,34,氵,19088.7556,238,昆,173.7086,4
练,141.2148,40,纟,11417.6494,100,柬,144.5383,3
偶,163.2198,22,亻,51543.5654,164,禺,594.5383,6
海,619.8173,188,氵,19088.7556,238,每,924.2519,10
葵,8.0198,9,艹,9164.7556,191,癸,8.6074,2
放,1139.7531,109,攵,5099.1457,24,方,2059.4617,12
任,580.0741,70,亻,51543.5654,164,壬,621.5852,5
喏,1.8568,0,口,50016.563,297,若,162.6765,4
通,590.5877,143,辶,28384.0494,81,甬,1245.5753,11
晓,54.4148,12,日,29708.8296,72,尧,310.7951,12
训,164.642,26,讠,19842.7358,108,川,169.8222,3
概,74.9827,18,木,23327.0765,210,既,110.563,5
略,90.1086,28,田,4157.0321,22,各,2410.8593,18
鸿,22.2914,5,鸟,608.1975,42,江,22.2914,1
运,647.1951,97,辶,28384.0494,81,云,907.0519,6
滑,80.237,46,氵,19088.7556,238,骨,83.4765,2
坡,35.0123,16,土,17088.4346,84,皮,1762.9679,11
懊,3.4321,3,忄,9431.3086,100,奧,272.7457,3
恼,62.7605,11,忄,9431.3086,100,㐫,390.5679,2
稠,4.0099,2,禾,3095.6593,38,周,348.8938,7
密,244.2469,57,宀,14193.9605,51,宓,399.2395,2
勒,82.6272,9,力,6800.9383,25,力,305.6049,4
迂,2.242,2,辶,28384.0494,81,于,74.7704,5
舵,1.7679,5,舟,520.5333,12,它,71.8667,10
游,645.4123,87,氵,19088.7556,238,斿,645.6148,2
到,5288.1432,83,刂,10927.3679,39,刂,5288.1432,1
近,398.1037,50,辶,28384.0494,81,斤,2763.679,8
邻,39.3877,20,阝,12852.079,66,令,1249.5654,16
仰,37.0617,20,亻,51543.5654,164,卬,306.316,3
远,508.1185,71,辶,28384.0494,81,元,3458.2914,7
让,1628.2815,24,讠,19842.7358,108,上,1628.2815,1
搜,69.358,8,扌,19245.0025,233,叟,182.1679,8
查,397.3531,68,木,23327.0765,210,杳,397.3531,1
彩,443.0321,65,彡,1258.0444,9,采,764.1481,4
借,88.2617,28,亻,51543.5654,164,昔,1116.6667,5
