traditional,simplified,pinyintone,pinyinnum,pinyinnone,HYDCD,zdic,Kroll,MC,OC,radsup,S1,S2,S3,S4,T1,T2,T3,T4,morphology,S1.charfreq,S2.charfreq,S3.charfreq,S4.charfreq,S1.famfreq,S2.famfreq,S3.famfreq,S4.famfreq,S1.sem,S2.sem,S3.sem,S4.sem,S1.semfreq,S2.semfreq,S3.semfreq,S4.semfreq,S1.semfam,S2.semfam,S3.semfam,S4.semfam,S1.phon,S2.phon,S3.phon,S4.phon,S1.phonfreq,S2.phonfreq,S3.phonfreq,S4.phonfreq,S1.phonfam,S2.phonfam,S3.phonfam,S4.phonfam,sensorymod,variant,note,datasource,stage,ASBC.dp,ASBC.philosophy,ASBC.literature,ASBC.life,ASBC.society,ASBC.science,ASBC.art
嗶嗶ð ,哔哔ð ,bì~bì~bō~bō,bi4~bi4~bo1~bo1,bi~bi~bo~bo,NA,NA,NA,NA,NA,口,哔,哔,ð, ,嗶,嗶,ð, ,RRRR,20494,20494,NA,NA,0,0,NA,NA,口,口,NA,NA,50016563,50016563,NA,NA,297,297,NA,NA,毕,毕,NA,NA,21481,21481,NA,NA,2,2,NA,NA,SOUND,NA,NA,Wang,MA,NA,NA,NA,NA,NA,NA,NA
嗶ð º,哔ð º,bì~bō~bì~bō,bi4~bo1~bi4~bo1,bi~bo~bi~bo,NA,NA,NA,NA,NA,口,哔,ð,哔,º,嗶,ð,嗶,º,RRRR,20494,NA,NA,NA,0,NA,NA,NA,口,NA,口,NA,50016563,NA,50016563,NA,297,NA,297,NA,毕,NA,毕,NA,21481,NA,21481,NA,2,NA,2,NA,SOUND,NA,NA,Wang,MA,NA,NA,NA,NA,NA,NA,NA
ð ³­,ð ³­,kè~cā~kè~cā,ke4~ca1~ke4~ca1,ke~ca~ke~ca,NA,NA,NA,NA,NA,口,ð,嚓,ð,­,ð,嚓,ð,­,RRRR,NA,35407,NA,NA,NA,2,NA,NA,NA,口,NA,NA,NA,50016563,NA,NA,NA,297,NA,NA,NA,察,NA,NA,NA,1252494,NA,NA,NA,3,NA,NA,SOUND,NA,NA,Wang,MA,NA,NA,NA,NA,NA,NA,NA
唏ð º,唏ð º,xī~líng~xī~líu,xi1~ling2~xi1~liu2,xi~ling~xi~liu,NA,NA,NA,NA,NA,NA,唏,ð,哗,º,唏,ð,嘩,º,RRRR,2558,NA,NA,NA,1,NA,NA,NA,口,NA,口,NA,50016563,NA,50016563,NA,297,NA,297,NA,希,NA,华,NA,429333,NA,134272,NA,3,NA,2,NA,SOUND,NA,NA,Gong,MA,NA,NA,NA,NA,NA,NA,NA
ð¢,ð¢,zú~lǜ~lǜ,zu2~lü4~lü4,zu~lü~lü,NA,NA,NA,NA~lwit~lwit,NA~*[r]ut~*[r]ut,NA,ð,律,律,NA,ð,律,律,NA,ARR,NA,1267654,NA,NA,NA,26,NA,NA,NA,彳,彳,NA,NA,119522173,119522173,NA,NA,29,29,NA,NA,聿,聿,NA,NA,1400543,1400543,NA,NA,3,3,NA,SOUND,NA,NA,Gong,MA,NA,NA,NA,NA,NA,NA,NA
ð ³,ð ³,bāng~bāng~bāng,bang1~bang1~bang1,bang~bang~bang,NA,NA,NA,NA,NA,口,ð,ð,ð,NA,ð,ð,ð,NA,BBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,MA,NA,NA,NA,NA,NA,NA,NA
ð ,ð ,lóng~lóng,long2~long2,long~long,NA,NA,NA,NA,NA,口,ð,ð,NA,NA,ð,ð,NA,NA,BB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,MA,NA,NA,NA,NA,NA,NA,NA
ð¡,ð¡,ōu~ōu,ou1~ou1,ou~ou,NA,NA,NA,NA,NA,口,ð,ð,NA,NA,ð,ð,NA,NA,BB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,MA,NA,NA,NA,NA,NA,NA,NA
ð ,ð ,bāng~bāng,bang1~bang1,bang~bang,NA,NA,NA,NA,NA,口,ð,ð,NA,NA,ð,ð,NA,NA,BB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,MA,NA,NA,NA,NA,NA,NA,NA
ð¢,ð¢,sāo~sāo,sao1~sao1,sao~sao,NA,NA,NA,NA,NA,扌,ð,ð,NA,NA,ð,ð,NA,NA,BB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,MA,NA,NA,NA,NA,NA,NA,NA
ð¨,ð¨,yǐn~yǐn,yin3~yin3,yin~yin,NA,NA,NA,NA,NA,車,ð,ð,NA,NA,ð,ð,NA,NA,BB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,MA,NA,NA,NA,NA,NA,NA,NA
汎ð,汎ð,fá~jié,fa2~jie2,fa~jie,NA,NA,rushing and raging (of waves),bjop~tsep,*[b](r)[u]m~NA,氵,NA,NA,NA,NA,汎,ð,NA,NA,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOVEMENT,NA,汎 fa2 also fan4 (MC phjomH),Kroll,OC-MC,NA,NA,NA,NA,NA,NA,NA
ð ,ð ,gǒu~gā,gou3~ga1,gou~ga,NA,NA,NA,NA,NA,口,ð,嘎,NA,NA,ð,嘎,NA,NA,RR,NA,416346,NA,NA,NA,2,NA,NA,NA,口,NA,NA,NA,50016563,NA,NA,NA,297,NA,NA,NA,戛,NA,NA,NA,416346,NA,NA,NA,1,NA,NA,SOUND,NA,NA,Wang,MA,NA,NA,NA,NA,NA,NA,NA
ð ,ð ,kè~cā,ke4~ca1,ke~ca,NA,NA,NA,NA,NA,NA,ð,嚓,NA,NA,ð,嚓,NA,NA,RR,NA,35407,NA,NA,NA,2,NA,NA,NA,口,NA,NA,NA,50016563,NA,NA,NA,297,NA,NA,NA,察,NA,NA,NA,1252494,NA,NA,NA,3,NA,NA,SOUND,NA,NA,Wang,MA,NA,NA,NA,NA,NA,NA,NA
ð¡,ð¡,luò~xù,luo4~xu4,luo~xu,NA,NA,NA,NA,NA,口,ð,嘘,NA,NA,ð,噓,NA,NA,RR,NA,192938,NA,NA,NA,3,NA,NA,NA,口,NA,NA,NA,50016563,NA,NA,NA,297,NA,NA,NA,虚,NA,NA,NA,228198,NA,NA,NA,3,NA,NA,SOUND,NA,NA,Gong,MA,NA,NA,NA,NA,NA,NA,NA
ð,ð,bāng,bang1,bang,NA,NA,NA,NA,NA,口,ð,NA,NA,NA,ð,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Wang,MA,NA,NA,NA,NA,NA,NA,NA
