rowid,s1,s2,s3,s4,ipa,ipa1,ipa2,ipa3,ipa4
8854,a1,yo1,NA,NA,a˥~jo˥~NA~NA,a˥,jo˥,NA,NA
8855,a1,you4,NA,NA,a˥~jou˥˩~NA~NA,a˥,jou˥˩,NA,NA
11738,a1,NA,NA,NA,a˥~NA~NA~NA,a˥,NA,NA,NA
10860,a1,na4,NA,NA,a˥~na˥˩~NA~NA,a˥,na˥˩,NA,NA
8693,a1,ti4,NA,NA,a˥~tʰi˥˩~NA~NA,a˥,tʰi˥˩,NA,NA
8694,a1,ti4,NA,NA,a˥~tʰi˥˩~NA~NA,a˥,tʰi˥˩,NA,NA
8847,a1,ti4,NA,NA,a˥~tʰi˥˩~NA~NA,a˥,tʰi˥˩,NA,NA
8848,a1,ti4,NA,NA,a˥~tʰi˥˩~NA~NA,a˥,tʰi˥˩,NA,NA
8849,a1,ti4,NA,NA,a˥~tʰi˥˩~NA~NA,a˥,tʰi˥˩,NA,NA
8850,a1,ti4,NA,NA,a˥~tʰi˥˩~NA~NA,a˥,tʰi˥˩,NA,NA
9133,a1,ti4,NA,NA,a˥~tʰi˥˩~NA~NA,a˥,tʰi˥˩,NA,NA
9134,a1,ti4,NA,NA,a˥~tʰi˥˩~NA~NA,a˥,tʰi˥˩,NA,NA
9135,a1,ti4,NA,NA,a˥~tʰi˥˩~NA~NA,a˥,tʰi˥˩,NA,NA
9173,a1,ti4,NA,NA,a˥~tʰi˥˩~NA~NA,a˥,tʰi˥˩,NA,NA
5638,a5,a5,NA,NA,a5~a5~NA~NA,a5,a5,NA,NA
8853,a5,yi1,NA,NA,a5~i˥~NA~NA,a5,i˥,NA,NA
8851,a5,ya1,NA,NA,a5~ja˥~NA~NA,a5,ja˥,NA,NA
8852,a5,ya1,NA,NA,a5~ja˥~NA~NA,a5,ja˥,NA,NA
9163,a5,ya1,NA,NA,a5~ja˥~NA~NA,a5,ja˥,NA,NA
9174,a5,yo5,NA,NA,a5~jo5~NA~NA,a5,jo5,NA,NA
9175,a5,yo5,NA,NA,a5~jo5~NA~NA,a5,jo5,NA,NA
9162,a5,jiu1,NA,NA,a5~tɕjou˥~NA~NA,a5,tɕjou˥,NA,NA
9152,a5,wu1,NA,NA,a5~u˥~NA~NA,a5,u˥,NA,NA
4147,er3,er3,NA,NA,aɚ˨˩˦~aɚ˨˩˦~NA~NA,aɚ˨˩˦,aɚ˨˩˦,NA,NA
4148,er3,er3,NA,NA,aɚ˨˩˦~aɚ˨˩˦~NA~NA,aɚ˨˩˦,aɚ˨˩˦,NA,NA
10139,er3,er3,NA,NA,aɚ˨˩˦~aɚ˨˩˦~NA~NA,aɚ˨˩˦,aɚ˨˩˦,NA,NA
10273,er3,ran2,NA,NA,aɚ˨˩˦~ɻan˧˥~NA~NA,aɚ˨˩˦,ɻan˧˥,NA,NA
1153,ai1,ai1,ai1,NA,ai˥~ai˥~ai˥~NA,ai˥,ai˥,ai˥,NA
3431,ai1,ai1,NA,NA,ai˥~ai˥~NA~NA,ai˥,ai˥,NA,NA
3432,ai1,ai1,NA,NA,ai˥~ai˥~NA~NA,ai˥,ai˥,NA,NA
3433,ai1,ai1,NA,NA,ai˥~ai˥~NA~NA,ai˥,ai˥,NA,NA
3434,ai1,ai1,NA,NA,ai˥~ai˥~NA~NA,ai˥,ai˥,NA,NA
5279,ai1,ai1,NA,NA,ai˥~ai˥~NA~NA,ai˥,ai˥,NA,NA
5280,ai1,ai1,NA,NA,ai˥~ai˥~NA~NA,ai˥,ai˥,NA,NA
8856,ai1,ya1,NA,NA,ai˥~ja˥~NA~NA,ai˥,ja˥,NA,NA
8857,ai1,ya1,NA,NA,ai˥~ja˥~NA~NA,ai˥,ja˥,NA,NA
8858,ai1,yo1,NA,NA,ai˥~jo˥~NA~NA,ai˥,jo˥,NA,NA
8859,ai1,you1,NA,NA,ai˥~jou˥~NA~NA,ai˥,jou˥,NA,NA
11254,ai1,NA,NA,NA,ai˥~NA~NA~NA,ai˥,NA,NA,NA
11255,ai1,NA,NA,NA,ai˥~NA~NA~NA,ai˥,NA,NA,NA
11256,ai1,NA,NA,NA,ai˥~NA~NA~NA,ai˥,NA,NA,NA
11257,ai1,NA,NA,NA,ai˥~NA~NA~NA,ai˥,NA,NA,NA
11451,ai1,NA,NA,NA,ai˥~NA~NA~NA,ai˥,NA,NA,NA
11463,ai1,NA,NA,NA,ai˥~NA~NA~NA,ai˥,NA,NA,NA
11700,ai1,NA,NA,NA,ai˥~NA~NA~NA,ai˥,NA,NA,NA
1519,ai4,ai4,NA,NA,ai˥˩~ai˥˩~NA~NA,ai˥˩,ai˥˩,NA,NA
1520,ai4,ai4,NA,NA,ai˥˩~ai˥˩~NA~NA,ai˥˩,ai˥˩,NA,NA
