values,valuenotone,valuetonenumber,ipa,ipanotone,ipanumber
a1,a,1,a1,a,1
a5,a,5,a5,a,5
ai1,ai,1,ai1,ai,1
ai2,ai,2,ai2,ai,2
ai3,ai,3,ai3,ai,3
ai4,ai,4,ai4,ai,4
an1,an,1,an1,an,1
an2,an,2,NA,an,2
an3,an,3,an3,an,3
an4,an,4,an4,an,4
ang2,ang,2,aŋ2,aŋ,2
ang3,ang,3,NA,aŋ,3
ao2,ao,2,au2,au,2
ao4,ao,4,au4,au,4
ba1,ba,1,pa1,pa,1
ba2,ba,2,pa2,pa,2
ba4,ba,4,pa4,pa,4
ba5,ba,5,pa5,pa,5
bai3,bai,3,pai3,pai,3
ban1,ban,1,pan1,pan,1
ban3,ban,3,pan3,pan,3
ban4,ban,4,pan4,pan,4
bang1,bang,1,paŋ1,paŋ,1
bang4,bang,4,paŋ4,paŋ,4
bao4,bao,4,pau4,pau,4
bar1,bar,1,NA,paɻ,1
bar5,bar,5,NA,paɻ,5
bei1,bei,1,pei1,pei,1
bei4,bei,4,pei4,pei,4
ben1,ben,1,pən1,pən,1
ben3,ben,3,pən3,pən,3
beng1,beng,1,pəŋ1,pəŋ,1
beng3,beng,3,NA,pəŋ,3
beng4,beng,4,pəŋ4,pəŋ,4
bi1,bi,1,pi1,pi,1
bi3,bi,3,pi3,pi,3
bi4,bi,4,pi4,pi,4
bian3,bian,3,pjan3,pjan,3
bian4,bian,4,pjan4,pjan,4
biao1,biao,1,pjau1,pjau,1
bie2,bie,2,pje2,pje,2
bin1,bin,1,pin1,pin,1
bing2,bing,2,NA,piŋ,2
bing3,bing,3,piŋ3,piŋ,3
bir3,bir,3,NA,pi,3
bo1,bo,1,pwo1,pwo,1
bo2,bo,2,pwo2,pwo,2
bu1,bu,1,NA,pu,1
bu3,bu,3,pu3,pu,3
bu4,bu,4,pu4,pu,4
ca1,ca,1,tsʰa1,tsʰa,1
cai3,cai,3,tsʰai3,tsʰai,3
cai4,cai,4,tsʰai4,tsʰai,4
can1,can,1,tsʰan1,tsʰan,1
can2,can,2,tsʰan2,tsʰan,2
can3,can,3,tsʰan3,tsʰan,3
can4,can,4,tsʰan4,tsʰan,4
cang1,cang,1,tsʰaŋ1,tsʰaŋ,1
cang2,cang,2,tsʰaŋ2,tsʰaŋ,2
cang3,cang,3,NA,tsʰaŋ,3
cao2,cao,2,tsʰau2,tsʰau,2
cao3,cao,3,tsʰau3,tsʰau,3
cao4,cao,4,tsʰau4,tsʰau,4
ce4,ce,4,tsʰɤ4,tsʰɤ,4
cen1,cen,1,tsʰən1,tsʰən,1
cen2,cen,2,tsʰən2,tsʰən,2
ceng1,ceng,1,tsʰəŋ1,tsʰəŋ,1
ceng2,ceng,2,tsʰəŋ2,tsʰəŋ,2
ceng4,ceng,4,tsʰəŋ4,tsʰəŋ,4
cha1,cha,1,ʈʂʰa1,ʈʂʰa,1
cha2,cha,2,ʈʂʰa2,ʈʂʰa,2
cha3,cha,3,ʈʂʰa3,ʈʂʰa,3
cha4,cha,4,ʈʂʰa4,ʈʂʰa,4
chai2,chai,2,ʈʂʰai2,ʈʂʰai,2
chai4,chai,4,NA,ʈʂʰai,4
chan1,chan,1,ʈʂʰan1,ʈʂʰan,1
chan2,chan,2,ʈʂʰan2,ʈʂʰan,2
chan3,chan,3,ʈʂʰan3,ʈʂʰan,3
chan4,chan,4,ʈʂʰan4,ʈʂʰan,4
chang1,chang,1,ʈʂʰaŋ1,ʈʂʰaŋ,1
chang2,chang,2,ʈʂʰaŋ2,ʈʂʰaŋ,2
chang3,chang,3,ʈʂʰaŋ3,ʈʂʰaŋ,3
chang4,chang,4,ʈʂʰaŋ4,ʈʂʰaŋ,4
chao1,chao,1,ʈʂʰau1,ʈʂʰau,1
chao2,chao,2,ʈʂʰau2,ʈʂʰau,2
chao3,chao,3,ʈʂʰau3,ʈʂʰau,3
che1,che,1,ʈʂʰɤ1,ʈʂʰɤ,1
che4,che,4,ʈʂʰɤ4,ʈʂʰɤ,4
chen1,chen,1,ʈʂʰən1,ʈʂʰən,1
chen2,chen,2,ʈʂʰən2,ʈʂʰən,2
chen3,chen,3,NA,ʈʂʰən,3
cheng1,cheng,1,ʈʂʰəŋ1,ʈʂʰəŋ,1
cheng2,cheng,2,ʈʂʰəŋ2,ʈʂʰəŋ,2
chi1,chi,1,ʈʂʰɹ1,ʈʂʰɹ,1
chi2,chi,2,ʈʂʰɹ2,ʈʂʰɹ,2
chi3,chi,3,ʈʂʰɹ3,ʈʂʰɹ,3
chi4,chi,4,ʈʂʰɹ4,ʈʂʰɹ,4
chong1,chong,1,ʈʂʰʊŋ1,ʈʂʰʊŋ,1
chong2,chong,2,ʈʂʰʊŋ2,ʈʂʰʊŋ,2
