word,n in ASBC,datasource,tag,takeout
得,,,,Y
呢,7798,"Wang, Li ",T [particle],Y
啊,4975,"Gong, Li ","I & T [interjection, particle]",Y
吧,3581,"Wang, Gong, Li ",T,Y
當,3513,"Gong, Li ","D, I, Na, Nes, P, VA, VC, VE, VG, VH, VJ",Y
台,2746,Li ,"Na, Nc, Nf",Y
呀,2266,"Wang, Gong, Li ",D[is okay] & T[not okay],Y
往往,1502,Kroll ,D[maybe grammaticalized?],
突然,1415,HYDCD ,D & V [both grammaticalized?],
喔,1087,Gong ,"I, T ",Y
消息,1074,Kroll ,"Na[because used to be verbal, now noun 'news']",Y
好好,991,Shijing ,"VH, D[both grammaticalized?]",
顯然,928,HYDCD ,D [okay],
紛紛,917,"Kroll, Tang ",D [gramm/ okay],
拍,813,Gong ,"D, Na, Nv, VC [not ideophone?]",Y
種種,795,HYDCD ,"Neqa, Nf, VC [not ideophone?]",Y
彷彿,778,Kroll ,"D, VG [grammaticalized?]",
嗯,738,Gong ,I ,Y
漸漸,732,Shijing ,D [grammaticalized],
號,688,Gong ,"Na, Nc, Nf, VG",Y
哦 ,668,Li ,"I, T",Y
忽然 ,658,Tang ,D [okay?],
念 ,634,Li ,"Na, Nv, VB, VC, VJ",Y
空 ,620,Gong ,"D, Na, Nb, Nc, Nv, VC,VH, VHC",Y
模糊 ,518,Kroll ,"Nv, VH [ok/grammaticalized]",
通 ,483,Li ,"D, Na, Neqa, Nf, Nv, VA, VC, VCL, VE, VH, VJ",Y
深深 ,469,HYDCD ,VH [ok/grammaticalized],
東 ,463,Gong ,"Nc, Ncd",Y
果然 ,454,HYDCD ,D [ok/grammaticalized],
架,414,HYDCD ,"D, Na, Nf, VA, VC [gone]",Y
貓,344,Gong ,Na [onomatopoeic but animal],
亮,305,Li ,"Nb, VC, VH",
糾紛,305,HYDCD ,Na [‘quarrel’ so kinda counts],
吹,299,HYDCD ,"Nv, VB, VC [normal word?]",Y
悄悄,276,"Kroll, Shijing, HYDCD",D [okay],
默默,270,"Kroll, Tang, HYDCD",D [okay],
哈,265,"Wang, Gong, Li , HYDCD","D, I, Nb, T, VA, VC, VJ [ok]",
哇,263,"Wang, Gong, Li, HYDCD","D, I, T [ok]",
孤獨,258,Tang ,"Nv, VH [maybe ok?]",
頻頻,253,HYDCD ,"D, VH [ok]",
僅僅,246,"Kroll, HYDCD",Da [ok/grammaticalized],
欸,244,"Kroll, HYDCD",I [maybe okay?],
落,236,"Li , HYDCD","VA, Nf, Nv, VC, VH, VJ",Y
嚇,229,HYDCD ,VJ [normal word?],Y
蓬勃,223,"Kroll, HYDCD","VH, Nv [ok]",
匆匆,216,HYDCD ,VH [ok],
